,index,name of standard cell,number of fanout
106,633,sky130_fd_sc_hd__dfrtp_2 U104,90
107,634,sky130_fd_sc_hd__dfxtp_2 U105,11
108,635,sky130_fd_sc_hd__dfxtp_2 U106,11
109,636,sky130_fd_sc_hd__dfxtp_2 U107,11
110,637,sky130_fd_sc_hd__dfxtp_2 U108,11
111,638,sky130_fd_sc_hd__dfxtp_2 U109,11
112,640,sky130_fd_sc_hd__dfxtp_2 U110,11
113,641,sky130_fd_sc_hd__dfxtp_2 U111,11
114,642,sky130_fd_sc_hd__dfxtp_2 U112,20
115,643,sky130_fd_sc_hd__dfrtp_2 U113,25
116,644,sky130_fd_sc_hd__dfrtp_2 U114,25
117,645,sky130_fd_sc_hd__dfrtp_2 U115,19
118,646,sky130_fd_sc_hd__dfrtp_2 U116,16
119,647,sky130_fd_sc_hd__dfrtp_2 U117,2
120,648,sky130_fd_sc_hd__dfrtp_2 U118,2
121,649,sky130_fd_sc_hd__dfrtp_2 U119,2
122,651,sky130_fd_sc_hd__dfrtp_2 U120,2
123,652,sky130_fd_sc_hd__dfrtp_2 U121,2
124,653,sky130_fd_sc_hd__dfrtp_2 U122,2
125,654,sky130_fd_sc_hd__dfrtp_2 U123,2
126,655,sky130_fd_sc_hd__dfrtp_2 U124,2
127,656,sky130_fd_sc_hd__dfrtp_2 U125,30
128,657,sky130_fd_sc_hd__dfrtp_2 U126,11
129,658,sky130_fd_sc_hd__dfrtp_2 U127,4
130,659,sky130_fd_sc_hd__dfrtp_2 U128,26
131,813,sky130_fd_sc_hd__dfstp_2 U54,3
132,814,sky130_fd_sc_hd__dfstp_2 U55,3
133,815,sky130_fd_sc_hd__dfstp_2 U56,3
134,816,sky130_fd_sc_hd__dfstp_2 U57,3
135,817,sky130_fd_sc_hd__dfstp_2 U58,3
136,818,sky130_fd_sc_hd__dfstp_2 U59,3
137,820,sky130_fd_sc_hd__dfstp_2 U60,3
138,821,sky130_fd_sc_hd__dfstp_2 U61,3
139,822,sky130_fd_sc_hd__dfstp_2 U62,3
140,823,sky130_fd_sc_hd__dfstp_2 U63,3
141,824,sky130_fd_sc_hd__dfstp_2 U64,3
142,825,sky130_fd_sc_hd__dfstp_2 U65,3
143,826,sky130_fd_sc_hd__dfstp_2 U66,3
144,827,sky130_fd_sc_hd__dfstp_2 U67,3
145,828,sky130_fd_sc_hd__dfstp_2 U68,3
146,829,sky130_fd_sc_hd__dfstp_2 U69,4
147,851,sky130_fd_sc_hd__dfstp_2 U20,3
148,852,sky130_fd_sc_hd__dfstp_2 U21,3
149,853,sky130_fd_sc_hd__dfstp_2 U22,3
150,854,sky130_fd_sc_hd__dfstp_2 U23,3
151,855,sky130_fd_sc_hd__dfstp_2 U24,4
152,883,sky130_fd_sc_hd__dfrtp_2 U21,4
153,884,sky130_fd_sc_hd__dfrtp_2 U22,4
154,885,sky130_fd_sc_hd__dfrtp_2 U23,4
155,886,sky130_fd_sc_hd__dfrtp_2 U24,4
156,887,sky130_fd_sc_hd__dfrtp_2 U25,4
157,888,sky130_fd_sc_hd__dfrtp_2 U26,4
158,889,sky130_fd_sc_hd__dfrtp_2 U27,3
159,921,sky130_fd_sc_hd__dfrtp_2 U104,37
160,922,sky130_fd_sc_hd__dfrtp_2 U105,37
161,923,sky130_fd_sc_hd__dfrtp_2 U106,37
162,924,sky130_fd_sc_hd__dfxtp_2 U107,1
163,925,sky130_fd_sc_hd__dfxtp_2 U108,8
164,926,sky130_fd_sc_hd__dfxtp_2 U109,2
165,928,sky130_fd_sc_hd__dfxtp_2 U110,31
166,929,sky130_fd_sc_hd__dfxtp_2 U111,31
167,930,sky130_fd_sc_hd__dfxtp_2 U112,31
168,931,sky130_fd_sc_hd__dfxtp_2 U113,31
169,932,sky130_fd_sc_hd__dfxtp_2 U114,31
170,933,sky130_fd_sc_hd__dfxtp_2 U115,31
171,934,sky130_fd_sc_hd__dfxtp_2 U116,31
172,935,sky130_fd_sc_hd__dfxtp_2 U117,17
173,936,sky130_fd_sc_hd__dfrtp_2 U118,51
174,937,sky130_fd_sc_hd__dfrtp_2 U119,51
175,939,sky130_fd_sc_hd__dfrtp_2 U120,51
176,940,sky130_fd_sc_hd__dfrtp_2 U121,53
177,941,sky130_fd_sc_hd__dfrtp_2 U122,52
178,1094,sky130_fd_sc_hd__dfstp_2 U54,2
179,1095,sky130_fd_sc_hd__dfstp_2 U55,2
180,1096,sky130_fd_sc_hd__dfstp_2 U56,2
181,1097,sky130_fd_sc_hd__dfstp_2 U57,2
182,1098,sky130_fd_sc_hd__dfstp_2 U58,2
183,1099,sky130_fd_sc_hd__dfstp_2 U59,2
184,1101,sky130_fd_sc_hd__dfstp_2 U60,2
185,1102,sky130_fd_sc_hd__dfstp_2 U61,2
186,1103,sky130_fd_sc_hd__dfstp_2 U62,2
187,1104,sky130_fd_sc_hd__dfstp_2 U63,2
188,1105,sky130_fd_sc_hd__dfstp_2 U64,2
189,1106,sky130_fd_sc_hd__dfstp_2 U65,2
190,1107,sky130_fd_sc_hd__dfstp_2 U66,2
191,1108,sky130_fd_sc_hd__dfstp_2 U67,2
192,1109,sky130_fd_sc_hd__dfstp_2 U68,2
193,1110,sky130_fd_sc_hd__dfstp_2 U69,7
