,index,name of standard cell,number of fanout
106,760,sky130_fd_sc_hd__dfrtp_2 U735,22
107,761,sky130_fd_sc_hd__dfrtp_2 U736,22
108,762,sky130_fd_sc_hd__dfrtp_2 U737,22
109,763,sky130_fd_sc_hd__dfrtp_2 U738,22
110,764,sky130_fd_sc_hd__dfrtp_2 U739,29
111,766,sky130_fd_sc_hd__dfrtp_2 U740,29
112,767,sky130_fd_sc_hd__dfrtp_2 U741,29
113,768,sky130_fd_sc_hd__dfrtp_2 U742,29
114,769,sky130_fd_sc_hd__dfrtp_2 U743,29
115,770,sky130_fd_sc_hd__dfrtp_2 U744,29
116,771,sky130_fd_sc_hd__dfrtp_2 U745,29
117,772,sky130_fd_sc_hd__dfrtp_2 U746,29
118,1281,sky130_fd_sc_hd__dfrtp_2 U361,4
119,1282,sky130_fd_sc_hd__dfrtp_2 U362,4
120,1283,sky130_fd_sc_hd__dfrtp_2 U363,4
121,1284,sky130_fd_sc_hd__dfrtp_2 U364,4
122,1285,sky130_fd_sc_hd__dfrtp_2 U365,4
123,1286,sky130_fd_sc_hd__dfrtp_2 U366,4
124,1287,sky130_fd_sc_hd__dfrtp_2 U367,4
125,1288,sky130_fd_sc_hd__dfstp_2 U368,22
126,1289,sky130_fd_sc_hd__dfrtp_2 U369,2
127,1291,sky130_fd_sc_hd__dfrtp_2 U370,15
128,1292,sky130_fd_sc_hd__dfrtp_2 U371,2
129,1293,sky130_fd_sc_hd__dfrtp_2 U372,4
130,1294,sky130_fd_sc_hd__dfrtp_2 U373,2
131,1295,sky130_fd_sc_hd__dfrtp_2 U374,2
132,1296,sky130_fd_sc_hd__dfrtp_2 U375,3
133,1297,sky130_fd_sc_hd__dfrtp_2 U376,99
134,1298,sky130_fd_sc_hd__dfrtp_2 U377,0
135,1299,sky130_fd_sc_hd__dfrtp_2 U378,46
136,1300,sky130_fd_sc_hd__dfrtp_2 U379,9
137,1302,sky130_fd_sc_hd__dfrtp_2 U380,9
138,1303,sky130_fd_sc_hd__dfrtp_2 U381,9
139,1304,sky130_fd_sc_hd__dfrtp_2 U382,9
140,1305,sky130_fd_sc_hd__dfrtp_2 U383,10
141,1306,sky130_fd_sc_hd__dfrtp_2 U384,10
142,1307,sky130_fd_sc_hd__dfrtp_2 U385,4
143,1308,sky130_fd_sc_hd__dfrtp_2 U386,4
144,1309,sky130_fd_sc_hd__dfrtp_2 U387,4
145,1310,sky130_fd_sc_hd__dfrtp_2 U388,4
146,1311,sky130_fd_sc_hd__dfrtp_2 U389,4
147,1313,sky130_fd_sc_hd__dfrtp_2 U390,4
148,1314,sky130_fd_sc_hd__dfrtp_2 U391,4
149,1315,sky130_fd_sc_hd__dfrtp_2 U392,65
150,1316,sky130_fd_sc_hd__dfrtp_2 U393,65
151,1317,sky130_fd_sc_hd__dfrtp_2 U394,8
152,1318,sky130_fd_sc_hd__dfrtp_2 U395,23
153,1319,sky130_fd_sc_hd__dfrtp_2 U396,8
154,1320,sky130_fd_sc_hd__dfrtp_2 U397,15
155,1321,sky130_fd_sc_hd__dfrtp_2 U398,14
156,1322,sky130_fd_sc_hd__dfrtp_2 U399,13
157,1325,sky130_fd_sc_hd__dfrtp_2 U400,12
158,1326,sky130_fd_sc_hd__dfrtp_2 U401,11
159,1327,sky130_fd_sc_hd__dfrtp_2 U402,10
160,1328,sky130_fd_sc_hd__dfrtp_2 U403,9
161,1329,sky130_fd_sc_hd__dfrtp_2 U404,8
162,1330,sky130_fd_sc_hd__dfrtp_2 U405,7
163,1331,sky130_fd_sc_hd__dfrtp_2 U406,6
164,1332,sky130_fd_sc_hd__dfrtp_2 U407,5
165,1333,sky130_fd_sc_hd__dfrtp_2 U408,4
166,1334,sky130_fd_sc_hd__dfrtp_2 U409,3
167,1336,sky130_fd_sc_hd__dfrtp_2 U410,2
168,1892,sky130_fd_sc_hd__dfrtp_2 U480,165
169,1893,sky130_fd_sc_hd__dfrtp_2 U481,165
170,1894,sky130_fd_sc_hd__dfrtp_2 U482,165
171,1895,sky130_fd_sc_hd__dfstp_2 U483,36
172,1896,sky130_fd_sc_hd__dfrtp_2 U484,5
173,1897,sky130_fd_sc_hd__dfrtp_2 U485,19
174,1898,sky130_fd_sc_hd__dfrtp_2 U486,12
175,1899,sky130_fd_sc_hd__dfrtp_2 U487,11
176,1900,sky130_fd_sc_hd__dfrtp_2 U488,19
177,1901,sky130_fd_sc_hd__dfrtp_2 U489,19
178,1903,sky130_fd_sc_hd__dfrtp_2 U490,5
179,1904,sky130_fd_sc_hd__dfrtp_2 U491,8
180,1905,sky130_fd_sc_hd__dfrtp_2 U492,64
181,1906,sky130_fd_sc_hd__dfrtp_2 U493,1
182,1907,sky130_fd_sc_hd__dfrtp_2 U494,1
183,1908,sky130_fd_sc_hd__dfrtp_2 U495,1
184,1909,sky130_fd_sc_hd__dfrtp_2 U496,1
185,1910,sky130_fd_sc_hd__dfrtp_2 U497,1
186,1911,sky130_fd_sc_hd__dfrtp_2 U498,1
187,1912,sky130_fd_sc_hd__dfrtp_2 U499,1
188,1915,sky130_fd_sc_hd__dfrtp_2 U500,1
189,1916,sky130_fd_sc_hd__dfrtp_2 U501,68
190,1917,sky130_fd_sc_hd__dfrtp_2 U502,6
191,1918,sky130_fd_sc_hd__dfrtp_2 U503,7
192,1919,sky130_fd_sc_hd__dfrtp_2 U504,7
193,1920,sky130_fd_sc_hd__dfrtp_2 U505,7
