,index,name of standard cell,number of fanout
99,8040,sky130_fd_sc_hd__dfxtp_2 U7867,37
100,8041,sky130_fd_sc_hd__dfxtp_2 U7868,40
101,8042,sky130_fd_sc_hd__dfxtp_2 U7869,40
102,8044,sky130_fd_sc_hd__dfxtp_2 U7870,40
103,8045,sky130_fd_sc_hd__dfxtp_2 U7871,4
104,8046,sky130_fd_sc_hd__dfxtp_2 U7872,4
105,8047,sky130_fd_sc_hd__dfxtp_2 U7873,4
106,8048,sky130_fd_sc_hd__dfxtp_2 U7874,4
107,8049,sky130_fd_sc_hd__dfxtp_2 U7875,4
108,8050,sky130_fd_sc_hd__dfxtp_2 U7876,3
109,8051,sky130_fd_sc_hd__dfxtp_2 U7877,3
110,8052,sky130_fd_sc_hd__dfxtp_2 U7878,3
111,8053,sky130_fd_sc_hd__dfxtp_2 U7879,3
112,8055,sky130_fd_sc_hd__dfxtp_2 U7880,3
113,8056,sky130_fd_sc_hd__dfxtp_2 U7881,3
114,8057,sky130_fd_sc_hd__dfxtp_2 U7882,3
115,8058,sky130_fd_sc_hd__dfxtp_2 U7883,3
116,8059,sky130_fd_sc_hd__dfxtp_2 U7884,3
117,8060,sky130_fd_sc_hd__dfxtp_2 U7885,3
118,8061,sky130_fd_sc_hd__dfxtp_2 U7886,3
119,8062,sky130_fd_sc_hd__dfxtp_2 U7887,3
120,8063,sky130_fd_sc_hd__dfxtp_2 U7888,3
121,8064,sky130_fd_sc_hd__dfxtp_2 U7889,3
122,8066,sky130_fd_sc_hd__dfxtp_2 U7890,3
123,8067,sky130_fd_sc_hd__dfxtp_2 U7891,3
124,8068,sky130_fd_sc_hd__dfxtp_2 U7892,3
125,8069,sky130_fd_sc_hd__dfxtp_2 U7893,3
126,8070,sky130_fd_sc_hd__dfxtp_2 U7894,3
127,8071,sky130_fd_sc_hd__dfxtp_2 U7895,3
128,8072,sky130_fd_sc_hd__dfxtp_2 U7896,3
129,8073,sky130_fd_sc_hd__dfxtp_2 U7897,3
130,8074,sky130_fd_sc_hd__dfxtp_2 U7898,3
131,8075,sky130_fd_sc_hd__dfxtp_2 U7899,3
132,8078,sky130_fd_sc_hd__dfxtp_2 U7900,3
133,8079,sky130_fd_sc_hd__dfxtp_2 U7901,3
134,8080,sky130_fd_sc_hd__dfxtp_2 U7902,3
135,8081,sky130_fd_sc_hd__dfxtp_2 U7903,4
136,8082,sky130_fd_sc_hd__dfxtp_2 U7904,4
137,8083,sky130_fd_sc_hd__dfxtp_2 U7905,4
138,8084,sky130_fd_sc_hd__dfxtp_2 U7906,4
139,8085,sky130_fd_sc_hd__dfxtp_2 U7907,4
140,8086,sky130_fd_sc_hd__dfxtp_2 U7908,3
141,8087,sky130_fd_sc_hd__dfxtp_2 U7909,3
142,8089,sky130_fd_sc_hd__dfxtp_2 U7910,3
143,8090,sky130_fd_sc_hd__dfxtp_2 U7911,3
144,8091,sky130_fd_sc_hd__dfxtp_2 U7912,3
145,8092,sky130_fd_sc_hd__dfxtp_2 U7913,3
146,8093,sky130_fd_sc_hd__dfxtp_2 U7914,3
147,8094,sky130_fd_sc_hd__dfxtp_2 U7915,3
148,8095,sky130_fd_sc_hd__dfxtp_2 U7916,3
149,8096,sky130_fd_sc_hd__dfxtp_2 U7917,3
150,8097,sky130_fd_sc_hd__dfxtp_2 U7918,3
151,8098,sky130_fd_sc_hd__dfxtp_2 U7919,3
152,8100,sky130_fd_sc_hd__dfxtp_2 U7920,3
153,8101,sky130_fd_sc_hd__dfxtp_2 U7921,3
154,8102,sky130_fd_sc_hd__dfxtp_2 U7922,3
155,8103,sky130_fd_sc_hd__dfxtp_2 U7923,3
156,8104,sky130_fd_sc_hd__dfxtp_2 U7924,3
157,8105,sky130_fd_sc_hd__dfxtp_2 U7925,3
158,8106,sky130_fd_sc_hd__dfxtp_2 U7926,3
159,8107,sky130_fd_sc_hd__dfxtp_2 U7927,3
160,8108,sky130_fd_sc_hd__dfxtp_2 U7928,3
161,8109,sky130_fd_sc_hd__dfxtp_2 U7929,3
162,8111,sky130_fd_sc_hd__dfxtp_2 U7930,3
163,8112,sky130_fd_sc_hd__dfxtp_2 U7931,3
164,8113,sky130_fd_sc_hd__dfxtp_2 U7932,3
165,8114,sky130_fd_sc_hd__dfxtp_2 U7933,3
166,8115,sky130_fd_sc_hd__dfxtp_2 U7934,3
167,8116,sky130_fd_sc_hd__dfxtp_2 U7935,4
168,8117,sky130_fd_sc_hd__dfxtp_2 U7936,4
169,8118,sky130_fd_sc_hd__dfxtp_2 U7937,4
170,8119,sky130_fd_sc_hd__dfxtp_2 U7938,4
171,8120,sky130_fd_sc_hd__dfxtp_2 U7939,4
172,8122,sky130_fd_sc_hd__dfxtp_2 U7940,3
173,8123,sky130_fd_sc_hd__dfxtp_2 U7941,3
174,8124,sky130_fd_sc_hd__dfxtp_2 U7942,3
175,8125,sky130_fd_sc_hd__dfxtp_2 U7943,3
176,8126,sky130_fd_sc_hd__dfxtp_2 U7944,3
177,8127,sky130_fd_sc_hd__dfxtp_2 U7945,3
