,index,name of standard cell,number of fanout
102,347,sky130_fd_sc_hd__dfxtp_2 U1213,42
103,348,sky130_fd_sc_hd__dfxtp_2 U1214,41
104,349,sky130_fd_sc_hd__dfxtp_2 U1215,40
105,350,sky130_fd_sc_hd__dfxtp_2 U1216,39
106,351,sky130_fd_sc_hd__dfxtp_2 U1217,38
107,352,sky130_fd_sc_hd__dfxtp_2 U1218,37
108,353,sky130_fd_sc_hd__dfxtp_2 U1219,35
109,355,sky130_fd_sc_hd__dfxtp_2 U1220,35
110,356,sky130_fd_sc_hd__dfxtp_2 U1221,35
111,357,sky130_fd_sc_hd__dfxtp_2 U1222,35
112,358,sky130_fd_sc_hd__dfxtp_2 U1223,35
113,359,sky130_fd_sc_hd__dfxtp_2 U1224,35
114,360,sky130_fd_sc_hd__dfxtp_2 U1225,35
115,361,sky130_fd_sc_hd__dfxtp_2 U1226,35
116,362,sky130_fd_sc_hd__dfxtp_2 U1227,35
117,363,sky130_fd_sc_hd__dfxtp_2 U1228,35
118,364,sky130_fd_sc_hd__dfxtp_2 U1229,35
119,366,sky130_fd_sc_hd__dfxtp_2 U1230,35
120,367,sky130_fd_sc_hd__dfxtp_2 U1231,35
121,368,sky130_fd_sc_hd__dfxtp_2 U1232,35
122,369,sky130_fd_sc_hd__dfxtp_2 U1233,35
123,370,sky130_fd_sc_hd__dfxtp_2 U1234,35
124,371,sky130_fd_sc_hd__dfxtp_2 U1235,35
125,372,sky130_fd_sc_hd__dfxtp_2 U1236,35
126,373,sky130_fd_sc_hd__dfxtp_2 U1237,35
127,374,sky130_fd_sc_hd__dfxtp_2 U1238,35
128,375,sky130_fd_sc_hd__dfxtp_2 U1239,35
129,377,sky130_fd_sc_hd__dfxtp_2 U1240,35
130,378,sky130_fd_sc_hd__dfxtp_2 U1241,35
131,379,sky130_fd_sc_hd__dfxtp_2 U1242,35
132,380,sky130_fd_sc_hd__dfxtp_2 U1243,35
133,381,sky130_fd_sc_hd__dfxtp_2 U1244,35
134,382,sky130_fd_sc_hd__dfxtp_2 U1245,35
135,383,sky130_fd_sc_hd__dfxtp_2 U1246,35
136,384,sky130_fd_sc_hd__dfxtp_2 U1247,35
137,385,sky130_fd_sc_hd__dfxtp_2 U1248,35
138,386,sky130_fd_sc_hd__dfxtp_2 U1249,0
139,388,sky130_fd_sc_hd__dfxtp_2 U1250,32
140,389,sky130_fd_sc_hd__dfxtp_2 U1251,31
141,390,sky130_fd_sc_hd__dfxtp_2 U1252,30
